year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1770,trade,88861607.23503114,imports,Marseille +1.8%/an,77761343.39885685,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1771,trade,97527353.57682055,imports,Marseille +1.8%/an,79173420.02373561,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1772,trade,92094448.76964861,imports,Marseille +1.8%/an,80611138.70040196,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1773,trade,108209078.53882226,imports,Marseille +1.8%/an,82074965.06564157,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1774,trade,81034010.6166285,imports,Marseille +1.8%/an,83565373.21178752,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1775,trade,80127942.99381651,imports,Marseille +1.8%/an,85082845.84026769,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1776,trade,104908999.16201356,imports,Marseille +1.8%/an,86627874.41793717,97303894.21451236,91778169.22289327,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1777,trade,89843072.74581158,imports,Marseille +1.8%/an,88200959.33624989,98690896.93124546,92430946.13595872,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1778,trade,64536603.70214123,imports,Marseille +1.8%/an,89802610.07332301,100097670.45521864,93088365.95813684,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1779,trade,55490251.31357412,imports,Marseille +1.8%/an,91433345.35894154,101524496.60622519,93750461.71235538,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1780,trade,65428244.06186197,imports,Marseille +1.8%/an,93093693.34256062,102971661.22121336,94417266.65641995,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1781,trade,,imports,Marseille +1.8%/an,94784191.76435897,104439454.21154782,95088814.28468403,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1782,trade,,imports,Marseille +1.8%/an,96505388.12939525,105928169.6210893,95765138.3297304,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1783,trade,,imports,Marseille +1.8%/an,98257839.88493356,107438105.68509835,96446272.76406756,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1784,trade,,imports,Marseille +1.8%/an,100042114.60098234,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1785,trade,,imports,Marseille +1.8%/an,101858790.15411505,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1786,trade,,imports,Marseille +1.8%/an,103708454.91462894,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1787,trade,,imports,Marseille +1.8%/an,105591707.93709876,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1788,trade,,imports,Marseille +1.8%/an,107509159.15439813,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1789,trade,131546378.56101577,imports,Marseille +1.8%/an,109461429.57523678,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1716,trade,,exports,Marseille +0.4%/an,46966440.575296625,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1717,trade,,exports,Marseille +0.4%/an,47164792.399753086,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1718,trade,,exports,Marseille +0.4%/an,47363981.91694911,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1719,trade,,exports,Marseille +0.4%/an,47564012.664684564,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1720,trade,,exports,Marseille +0.4%/an,47764888.195700906,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1721,trade,,exports,Marseille +0.4%/an,47966612.0777436,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1722,trade,,exports,Marseille +0.4%/an,48169187.893625796,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1723,trade,,exports,Marseille +0.4%/an,48372619.24129135,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1724,trade,,exports,Marseille +0.4%/an,48576909.73387985,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1725,trade,,exports,Marseille +0.4%/an,48782062.99978946,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1726,trade,,exports,Marseille +0.4%/an,48988082.68274256,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1727,trade,,exports,Marseille +0.4%/an,49194972.44184976,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1728,trade,,exports,Marseille +0.4%/an,49402735.95167526,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1729,trade,,exports,Marseille +0.4%/an,49611376.902301386,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1730,trade,,exports,Marseille +0.4%/an,49820898.99939521,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1731,trade,,exports,Marseille +0.4%/an,50031305.9642738,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1732,trade,,exports,Marseille +0.4%/an,50242601.53396986,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1733,trade,,exports,Marseille +0.4%/an,50454789.46129905,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
